Tag	31899.1	most_common_function
TAG0001	-	hypothetical protein
TAG0002	426	Adenylosuccinate synthetase (EC 6.3.4.4)
TAG0003	-	hypothetical protein
TAG0004	-	hypothetical protein
TAG0005	-	hypothetical protein
TAG0006	-	hypothetical protein
TAG0007	-	hypothetical protein
TAG0008	-	Glutamine amidotransferase, class I
TAG0009	-	hypothetical protein
TAG0010	-	hypothetical protein
TAG0011	1967	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)
TAG0012	-	hypothetical protein
TAG0013	-	hypothetical protein
TAG0014	-	hypothetical protein
TAG0015	-	hypothetical protein
TAG0016	-	hypothetical protein
TAG0017	-	hypothetical protein
TAG0018	-	hypothetical protein
TAG0019	-	hypothetical protein
TAG0020	-	hypothetical protein
TAG0021	-	hypothetical protein
TAG0022	632	Mannose-1-phosphate guanylyltransferase / Phosphomannomutase (EC 5.4.2.8)
TAG0023	-	hypothetical protein
TAG0024	-	hypothetical protein
TAG0025	-	Rrf2 family transcriptional regulator
TAG0026	-	hypothetical protein
TAG0027	-	hypothetical protein
TAG0028	-	hypothetical protein
TAG0029	-	hypothetical protein
TAG0030	-	hypothetical protein
TAG0031	-	hypothetical protein
TAG0032	-	hypothetical protein
TAG0033	-	hypothetical protein
TAG0034	-	UPF0236 protein TTE2489
TAG0035	-	hypothetical protein
TAG0036	-	hypothetical protein
TAG0037	-	hypothetical protein
TAG0038	-	hypothetical protein
TAG0039	-	hypothetical protein
TAG0040	-	hypothetical protein
TAG0041	-	hypothetical protein
TAG0042	-	hypothetical protein
TAG0043	-	Uncharacterized protein Ava_3322
TAG0044	-	hypothetical protein
TAG0045	-	hypothetical protein
TAG0046	-	hypothetical protein
TAG0047	-	hypothetical protein
TAG0048	-	hypothetical protein
TAG0049	-	hypothetical protein
TAG0050	-	Similar to benzoyl-CoA reductase subunit B
TAG0051	-	Glutamine synthetase type I (EC 6.3.1.2)
TAG0052	-	hypothetical protein
TAG0053	-	hypothetical protein
TAG0054	-	hypothetical protein
TAG0055	-	Pyruvoyl-dependent arginine decarboxylase (EC 4.1.1.19)
TAG0056	1803	Agmatinase (EC 3.5.3.11)
